id,dzcode,coord_long,coord_lat,pos_x,pos_y,cityname_chn,cityname_eng,cpop2000,cpop2010,upop2000,upop2010,cityclass
1,1101,116.42,39.93,8017,3692,北京市,Beijing,1356.9189,1961.2,1052.246,1685.869,7
2,1201,117.2,39.119999,8159,3862,天津市,Tianjin,984.87311,1293.8199,708.9812,1027.7889,7
3,1301,114.52,38.049999,7722,4125,石家庄市,Shijiazhuang,924.11859,1016.38,323.88589,514.51331,6
4,1302,118.18,39.59,8314,3746,唐山市,Tangshan,704.05542,757.72998,226.5605,385.0975,5
5,1303,119.6,39.93,8542,3650,秦皇岛市,Qinhuangdao,275.39621,298.76001,90.013199,141.9487,4
6,1304,114.48,36.619999,7730,4441,邯郸市,Handan,838.6814,917.46997,196.40379,398.5686,5
7,1305,114.48,37.07,7725,4342,邢台市,Xingtai,664.5766,710.40997,133.153,284.2785,4
8,1306,115.47,38.869999,7873,3935,保定市,Baoding,1047.1121,1119.4399,241.9839,434.03391,5
9,1307,114.88,40.82,7753,3510,张家口市,Zhangjiakou,419.10349,434.54999,121.8144,196.245,4
10,1308,117.93,40.970001,8248,3445,承德市,Chengde,332.41211,347.32001,83.412102,134.3103,4
11,1309,116.83,38.299999,8110,4047,沧州市,Cangzhou,663.95007,713.40997,143.5714,291.25421,4
12,1310,116.7,39.52,8070,3780,廊坊市,Langfang,383.34439,435.88,112.4617,211.5141,4
13,1311,115.68,37.73,7923,4185,衡水市,Hengshui,415.69131,434.07999,82.749802,165.76871,4
14,1401,112.55,37.869999,7389,4176,太原市,Taiyuan,334.43921,420.16,275.5726,346.79871,5
15,1402,113.3,40.080002,7500,3684,大同市,Datong,300.15079,331.81,130.5923,182.2112,4
16,1403,113.57,37.849998,7563,4175,阳泉市,Yangquan,127.3126,136.85001,58.047798,82.120903,3
17,1404,113.07,36.119999,7490,4561,长治市,Changzhi,313.89911,333.45999,89.648697,139.50301,4
