origin,destination,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024
1101,1201,1.22869162480532,1.22869162480532,1.22869162480532,1.22869162480532,1.22869162480532,1.1722966682367,1.1722966682367,1.1722966682367,1.1722966682367,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434,1.17229666807434
1101,1301,2.96278042751034,2.9499534052904,2.9499534052904,2.9499534052904,2.9499534052904,2.9499534052904,2.9499534052904,2.9499534052904,2.9499534052904,2.94995340480256,2.94995340480256,2.94995340480256,2.94995340480256,2.94995340480256,2.94995340480256,2.94995340468319,2.94995340468319,2.94995340468319,2.94995340468319,2.94995340468319,2.94995340468319,2.94995340468319,2.94995340468319,2.94995340468319,2.94995340468319,2.94995340459865,2.94995340459865,2.94995340459865,2.59007584644949,2.59007584644949,2.59007584644949
1201,1301,3.58493916938143,3.57211214716148,3.57211214716148,3.57211214716148,3.57211214716148,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.00246157794314,3.0024615778586,3.0024615778586,3.00246157767089,2.64258401952173,2.64258401952173,2.64258401952173
1101,1302,2.88700739073989,2.88700739073989,2.1037676438085,2.1037676438085,1.97254092600995,1.97254092600995,1.97254092600995,1.97254092600995,1.97031429545288,1.76503250836484,1.76503250836484,1.76503250836484,1.76503250836484,1.76503250836484,1.76503250795405,1.76503250795405,1.76503250795405,1.76503250795405,1.76503250795405,1.76503250795405,1.76503250795405,1.76503250795405,1.76503250795405,1.76503250795405,1.76503250795405,1.76503250795405,1.76503250795405,1.76503250795405,1.72484265916071,1.72484265916071,1.72484265916071
1201,1302,3.63441661050427,3.63441661050427,1.30504515561979,1.30504515561979,1.30504515561979,1.24865019905117,1.24865019905117,1.24865019905117,1.24865019905117,1.24865019905117,1.24865019905117,1.24865019905117,1.24865019905117,1.24865019905117,1.24865019885241,1.22342841565761,1.22342841565761,1.22342841565761,1.2234284152502,1.2234284152502,1.2234284152502,1.2234284152502,1.2234284152502,1.2234284152502,1.2234284152502,1.2234284152502,1.2234284152502,1.2234284152502,1.2234284152502,1.2234284152502,1.22257897948414
1301,1302,5.66012767383568,5.64730065161574,4.50268426733599,4.50268426733599,4.50268426733599,4.0939656651971,4.0939656651971,4.0939656651971,4.0939656651971,4.0939656651971,4.0939656651971,4.0939656651971,4.0939656651971,4.0939656651971,4.09396566499834,4.06874388180354,4.06874388180354,4.06874388180354,4.06874388139613,4.06874388139613,4.06874388139613,4.06874388139613,4.06874388139613,4.06874388139613,4.06874388139613,4.06874388131158,4.06874388131158,4.06874388112387,3.70886632297471,3.70886632297471,3.70801688720866
1101,1303,3.17424235762896,3.17424235762896,3.01993110644636,3.01993110644636,2.89069991515181,2.89069991515181,2.89069991515181,2.89069991515181,2.88847328459474,2.8132462857648,2.8132462857648,2.8132462857648,2.8132462857648,2.8132462857648,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801,2.75496248778801
1201,1303,3.92165157739334,3.92165157739334,2.55414821646635,2.55414821646635,2.55414821646635,2.49775325989773,2.49775325989773,2.49775325989773,2.49775325989773,2.49775325989773,2.49775325989773,2.49775325989773,2.49775325989773,2.49775325989773,2.43946946213298,2.43946946186494,2.43946946186494,2.43946946186494,2.43946946145753,2.43946946145753,2.43946946145753,2.43946946145753,2.43946946145753,2.43946946145753,2.43946946145753,2.43946946145753,2.43946946145753,2.43946946145753,2.43946946145753,2.43946946145753,2.43946946103083
1301,1303,5.94736264072475,5.93453561850481,5.75178732818254,5.75178732818254,5.65099317602766,5.34306872604366,5.34306872604366,5.34306872604366,5.34306872604366,5.34306872604366,5.34306872604366,5.34306872604366,5.34306872604366,5.34306872604366,5.2847849282789,5.28478492801087,5.28478492801087,5.28478492801087,5.28478492760346,5.28478492760346,5.28478492760346,5.28478492760346,5.28478492760346,5.28478492760346,5.28478492760346,5.28478492751892,5.28478492751892,5.2847849273312,4.92490736918205,4.92490736918205,4.92490736875534
1302,1303,1.72572714820244,1.72572714820244,1.55174099574661,1.55174099574661,1.55174099574661,1.55174099574661,1.55174099574661,1.55174099574661,1.55174099574661,1.55174099574661,1.55174099574661,1.55174099574661,1.55174099574661,1.55174099574661,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062,1.49345719818062
