id_ori,long_ori,lat_ori,long_des,lat_des,time_cost
o_4,116.42,39.93,114.88,40.82,4.11222755967245
o_4,116.42,39.93,112.75,37.68,4.70298594235606
o_2,113.82,22.88,113.94,22.83,1.79283680911144
o_2,113.82,22.88,118.09,24.49,8.05004629728472
o_2,113.82,22.88,114.88,40.82,23.7087730773362
o_2,113.82,22.88,104.09,30.67,16.2978053320264
o_3,114.08,22.88,113.98,22.84,1.33361962109896
o_1,104.04,31.32,103.79,28.49,11.9037041901101
o_1,104.04,31.32,108.33,22.82,14.7454643679105
o_1,104.04,31.32,102.67,28.04,8.95088559806537
o_1,104.04,31.32,116.43,39.92,17.7065390233365
o_1,104.04,31.32,104.26,30.88,1.7735114332441
o_5,119.13,36.96,116.62,40.34,5.84087186036649
o_5,119.13,36.96,118.71,39.99,6.46723840413031
o_5,119.13,36.96,106.49,29.88,17.4325129224681
o_5,119.13,36.96,116.98,36.68,4.02635789636673
o_5,119.13,36.96,109.36,24.31,17.2408325097807
