id_ori,long_ori,lat_ori,long_des,lat_des,time_cost
o_4,116.42,39.93,114.88,40.82,2.2201971507993
o_4,116.42,39.93,112.75,37.68,2.00032867641856
o_2,113.82,22.88,113.94,22.83,0.724504242214784
o_2,113.82,22.88,118.09,24.49,3.83693230523578
o_2,113.82,22.88,114.88,40.82,9.25535660858564
o_2,113.82,22.88,104.09,30.67,7.09310542843312
o_3,114.08,22.88,113.98,22.84,1.10480666821211
o_1,104.04,31.32,103.79,28.49,8.181786717507
o_1,104.04,31.32,108.33,22.82,5.71976335323582
o_1,104.04,31.32,102.67,28.04,6.4962112242635
o_1,104.04,31.32,116.43,39.92,7.29749271270919
o_1,104.04,31.32,104.26,30.88,1.46128958118703
o_5,119.13,36.96,116.62,40.34,3.73578489460861
o_5,119.13,36.96,118.71,39.99,4.96192727962872
o_5,119.13,36.96,106.49,29.88,6.83512347325749
o_5,119.13,36.96,116.98,36.68,2.14891249894683
o_5,119.13,36.96,109.36,24.31,8.32438761969979
