id_ori,long_ori,lat_ori,long_des,lat_des,time_cost
o_4,116.42,39.93,114.88,40.82,3.64010115007783
o_4,116.42,39.93,112.75,37.68,7.63887574746052
o_2,113.82,22.88,113.94,22.83,1.79283680911144
o_2,113.82,22.88,118.09,24.49,12.6939718666471
o_2,113.82,22.88,114.88,40.82,36.1358563357244
o_2,113.82,22.88,104.09,30.67,31.9697942448703
o_3,114.08,22.88,113.98,22.84,1.48523464291132
o_1,104.04,31.32,103.79,28.49,11.5378727981135
o_1,104.04,31.32,108.33,22.82,29.415835079255
o_1,104.04,31.32,102.67,28.04,18.7241345244256
o_1,104.04,31.32,116.43,39.92,31.9294657673665
o_1,104.04,31.32,104.26,30.88,6.89100225774127
o_5,119.13,36.96,116.62,40.34,11.9546638203305
o_5,119.13,36.96,118.71,39.99,15.144202702895
o_5,119.13,36.96,106.49,29.88,33.3285699951473
o_5,119.13,36.96,116.98,36.68,6.26784022061404
o_5,119.13,36.96,109.36,24.31,33.2300508584324
