seg_id,rate,year,year_std,path_name,path_supplement,notes
road_1,highway,1988,1988,沪嘉高速,,"上海到嘉定"
road_2,highway,1989,1988,广佛高速,,"广州到佛山"
road_3,highway,1990,1988,沈大高速,,"沈阳到大连"
road_4,highway,1991,1988,合宁高速,,"合肥到南京"
road_5,highway,1993,1988,京津塘高速,,"北京到天津"
road_6,highway,1993,1988,济青高速,,"济南到青岛"
road_7,highway,1993,1988,京石高速,,"北京到石家庄"
road_8,first-rate,1994,1988,,,""
road_9,highway,1994,1988,成渝高速,,"成都到简阳"
road_10,first-rate,1994,1988,,,""
road_11,highway,1994,1988,南海三水高速,,"南海到三水"
road_12,first-rate,1994,1988,,,""
road_13,first-rate,1994,1988,,,""
road_14,highway,1994,1988,郑开高速,,"郑州到开封"
road_15,first-rate,1994,1988,,,""
road_16,first-rate,1994,1988,,,""
road_17,first-rate,1994,1988,,,""
road_18,first-rate,1994,1988,,,""
road_19,first-rate,1994,1988,,,""
road_20,first-rate,1994,1988,,,""
road_21,first-rate,1994,1988,,,""
road_22,highway,1994,1988,,,"青岛到烟台"
road_23,first-rate,1994,1988,,,""
road_24,highway,1994,1988,,,"西安到铜川"
road_25,first-rate,1994,1988,,,""
road_26,first-rate,1994,1988,,,""
road_27,first-rate,1994,1988,,,""
road_28,first-rate,1994,1988,,,""
road_29,first-rate,1994,1988,,,""
road_30,first-rate,1994,1988,,,""
road_31,first-rate,1994,1988,,,""
road_32,first-rate,1994,1988,,,""
road_33,first-rate,1994,1988,,,""
road_34,first-rate,1994,1988,,,""
road_35,first-rate,1994,1988,,,""
road_36,first-rate,1994,1988,,,""
road_37,first-rate,1994,1988,,,""
road_38,first-rate,1994,1988,,,""
road_39,first-rate,1994,1988,,,""
road_40,first-rate,1994,1988,,,""
road_41,first-rate,1994,1988,,,""
road_42,first-rate,1994,1988,,,""
road_43,first-rate,1994,1988,,,""
road_44,first-rate,1994,1988,,,""
road_45,first-rate,1994,1988,,,""
road_46,first-rate,1994,1988,,,""
road_47,first-rate,1994,1988,,,""
road_48,first-rate,1994,1988,,,""
road_49,first-rate,1994,1988,,,""
road_50,first-rate,1994,1988,,,""
road_51,first-rate,1994,1988,,,""
road_52,first-rate,1994,1988,,,""
road_53,first-rate,1994,1988,,,""
road_54,first-rate,1994,1988,,,""
road_55,first-rate,1994,1988,,,""
road_56,first-rate,1994,1988,,,""
road_57,first-rate,1994,1988,,,""
road_58,first-rate,1994,1988,,,""
road_59,first-rate,1994,1988,,,""
road_60,first-rate,1994,1988,,,""
road_61,first-rate,1994,1988,,,""
road_62,first-rate,1994,1988,,,""
road_63,first-rate,1994,1988,,,""
road_64,first-rate,1994,1988,,,""
road_65,first-rate,1994,1988,,,""
road_66,first-rate,1994,1988,,,""
road_67,first-rate,1994,1988,,,""
road_68,first-rate,1994,1988,,,""
road_69,first-rate,1994,1988,,,""
road_70,first-rate,1994,1988,,,""
road_71,first-rate,1994,1988,,,""
road_72,first-rate,1994,1988,,,""
road_73,first-rate,1994,1988,,,""
road_74,first-rate,1994,1988,,,""
road_75,first-rate,1994,1988,,,""
road_76,first-rate,1994,1988,,,""
road_77,first-rate,1994,1988,,,""
road_78,first-rate,1994,1988,,,""
road_79,first-rate,1994,1988,,,""
road_80,first-rate,1994,1988,,,""
road_81,first-rate,1994,1988,,,""
road_82,first-rate,1994,1988,,,""
road_83,first-rate,1994,1988,,,""
road_84,first-rate,1994,1988,,,""
road_85,first-rate,1994,1988,,,""
road_86,first-rate,1994,1988,,,""
road_87,first-rate,1994,1988,,,""
road_88,first-rate,1994,1988,,,""
road_89,first-rate,1994,1988,,,""
road_90,first-rate,1994,1988,,,""
road_91,first-rate,1994,1988,,,""
road_92,first-rate,1994,1988,,,""
road_93,first-rate,1994,1988,,,""
road_94,first-rate,1994,1988,,,""
road_95,first-rate,1994,1988,,,""
road_96,first-rate,1994,1988,,,""
road_97,first-rate,1994,1988,,,""
road_98,first-rate,1994,1988,,,""
road_99,first-rate,1994,1988,,,""
road_100,first-rate,1994,1988,,,""
road_101,first-rate,1994,1988,,,""
road_102,first-rate,1994,1988,,,""
road_103,first-rate,1994,1988,,,""
road_104,first-rate,1994,1988,,,""
road_105,first-rate,1994,1988,,,""
road_106,first-rate,1994,1988,,,""
road_107,first-rate,1994,1988,,,""
road_108,first-rate,1994,1988,,,""
road_109,first-rate,1994,1988,,,""
