seg_id,year_type_1994,year_type_1995,year_type_1996,year_type_1997,year_type_1998,year_type_1999,year_type_2000,year_type_2001,year_type_2002,year_type_2003,year_type_2004,year_type_2005,year_type_2006,year_type_2007,year_type_2008,year_type_2009,year_type_2010,year_type_2011,year_type_2012,year_type_2013,year_type_2014,year_type_2015,year_type_2016,year_type_2017,year_type_2018,year_type_2019,year_type_2020,year_type_2021,year_type_2022,year_type_2023,year_type_2024
road_1,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_2,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_3,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_4,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_5,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_6,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_7,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_8,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_9,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_10,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_11,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_12,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_13,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_14,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_15,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
road_16,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
